"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"114",58504,2018-04-03,23,19,8,8.14,26.73,4,"female","empl","par-time","married"
"115",13172,2018-01-21,19,20,9,7.86,30.13,5,"female","empl","par-time","single"
"116",39922,2018-03-05,30,20,7,8.14,29.51,5,"female","empl","par-time","married"
"117",5609,2018-01-09,21,21,19,6.29,53.68,4,"male","unempl","full-time","single"
"118",18811,2018-01-30,32,22,21,5.86,54.62,1,"male","unempl","full-time","divorced"
"119",82444,2018-05-11,33,21,22,5.86,72.97,5,"male","unempl","full-time","divorced"
"120",29665,2018-02-16,17,16,15,7.57,49.08,5,"male","empl","par-time","single"
"121",31331,2018-02-19,21,21,10,7.57,35.25,1,"female","empl","par-time","single"
"122",56472,2018-03-31,17,20,23,5.86,77.33,4,"male","unempl","full-time","single"
"123",89631,2018-05-22,24,18,12,7.71,33.55,4,"female","empl","par-time","married"
"124",98270,2018-06-05,26,16,26,6,88,4,"male","unempl","full-time","single"
"125",76597,2018-05-02,23,18,28,5.43,98.12,2,"male","unempl","full-time","single"
"126",15552,2018-01-25,23,21,7,8,25.53,5,"female","empl","par-time","married"
"127",78510,2018-05-05,17,19,13,7.43,52.55,5,"female","unempl","par-time","single"
"128",97219,2018-06-03,25,17,7,8.57,41.05,4,"female","empl","par-time","single"
"129",52793,2018-03-25,25,17,16,7.29,59.4,2,"male","unempl","full-time","single"
"130",60921,2018-04-07,19,22,18,6.29,65.87,5,"male","unempl","full-time","single"
"131",63995,2018-04-12,22,18,15,7.29,43.67,1,"male","empl","par-time","single"
"132",96944,2018-06-03,23,19,15,7.14,58.67,1,"male","unempl","full-time","single"
"133",96381,2018-06-02,20,21,7,8,21.14,4,"female","empl","par-time","single"
"134",9592,2018-01-16,19,20,18,6.57,53.48,4,"male","unempl","full-time","single"
"135",20252,2018-02-02,27,20,18,6.57,59.07,3,"male","unempl","full-time","divorced"
"136",70480,2018-04-22,24,21,11,7.43,34.44,4,"female","empl","par-time","married"
"137",72779,2018-04-26,19,22,14,6.86,39.69,2,"female","empl","par-time","single"
"138",9775,2018-01-16,21,20,15,7,45.22,1,"male","empl","par-time","single"
"139",66047,2018-04-15,33,20,11,7.57,39.73,4,"female","empl","par-time","divorced"
"140",12028,2018-01-20,19,20,10,7.71,43.56,5,"female","empl","par-time","single"
"141",85166,2018-05-15,29,20,20,6.29,60.62,2,"male","unempl","full-time","divorced"
"142",3443,2018-01-06,26,21,16,6.71,46.07,1,"male","empl","par-time","divorced"
"143",42620,2018-03-09,27,20,10,7.71,33.4,4,"female","empl","par-time","married"
"144",67943,2018-04-18,18,26,12,6.57,35.37,5,"female","empl","par-time","single"
"145",67815,2018-04-18,21,20,27,5.29,79.9,1,"male","unempl","full-time","single"
"146",13810,2018-01-22,26,15,10,8.43,47.84,5,"female","empl","par-time","divorced"
"147",49190,2018-03-19,17,19,23,6,69.7,4,"male","unempl","full-time","single"
"148",88507,2018-05-21,24,21,19,6.29,55.18,1,"male","unempl","full-time","single"
"149",457,2018-01-01,25,14,20,7.14,75.89,4,"male","unempl","full-time","single"
"150",98083,2018-06-05,22,23,9,7.43,21,3,"female","empl","par-time","single"
"151",76509,2018-05-02,24,24,13,6.71,43.63,3,"female","empl","par-time","single"
"152",13866,2018-01-22,23,20,19,6.43,61.52,5,"male","unempl","full-time","single"
"153",19828,2018-02-01,29,21,2,8.71,2.6,2,"female","unempl","par-time","married"
"154",18214,2018-01-29,27,15,8,8.71,34.76,3,"female","empl","par-time","married"
"155",92304,2018-05-27,22,16,17,7.29,67.44,2,"male","unempl","full-time","single"
"156",41325,2018-03-07,25,20,18,6.57,59.36,1,"male","unempl","full-time","single"
"157",92394,2018-05-27,25,23,13,6.86,38.32,4,"female","empl","par-time","single"
"158",3845,2018-01-07,22,16,16,7.43,55.44,5,"male","unempl","full-time","single"
"159",71488,2018-04-24,24,14,15,7.86,51.06,5,"male","unempl","full-time","single"
"160",42122,2018-03-08,20,21,22,5.86,63.86,2,"male","unempl","full-time","single"
"161",32048,2018-02-20,22,19,20,6.43,69.38,5,"male","unempl","full-time","single"
"162",23333,2018-02-06,21,19,13,7.43,46.31,2,"female","empl","par-time","single"
"163",64686,2018-04-13,25,19,17,6.86,51.54,4,"male","unempl","full-time","single"
"164",28107,2018-02-14,22,18,17,7,57.1,5,"male","unempl","full-time","single"
"165",72149,2018-04-25,29,16,5,9,25.42,2,"female","empl","par-time","married"
"166",1749,2018-01-03,21,23,14,6.71,35.7,4,"female","empl","par-time","single"
"167",41950,2018-03-08,21,21,16,6.71,58.75,4,"male","unempl","full-time","single"
"168",31956,2018-02-20,31,23,12,7,42.28,5,"female","empl","par-time","divorced"
"169",94087,2018-05-29,31,19,14,7.29,51.09,2,"female","unempl","full-time","divorced"
"170",2410,2018-01-04,28,24,12,6.86,32.77,2,"female","empl","par-time","married"
"171",15389,2018-01-25,21,21,17,6.57,60.65,5,"male","unempl","full-time","single"
"172",76229,2018-05-01,25,14,14,8,54.34,4,"female","unempl","full-time","single"
"173",69741,2018-04-21,23,28,23,4.71,57.72,3,"male","unempl","full-time","single"
"174",28647,2018-02-15,27,24,3,8.14,9.35,2,"female","unempl","par-time","married"
"175",37062,2018-02-28,21,20,12,7.43,41.39,5,"female","empl","par-time","single"
"176",10311,2018-01-17,24,16,13,7.86,55.26,2,"female","unempl","par-time","single"
"177",9515,2018-01-16,18,20,25,5.57,66.87,1,"male","unempl","full-time","single"
"178",75022,2018-04-29,27,17,25,6,80.72,1,"male","unempl","full-time","divorced"
"179",46440,2018-03-15,17,21,21,6,67.22,1,"male","unempl","full-time","single"
"180",56119,2018-03-30,22,15,12,8.14,49.68,1,"female","empl","par-time","single"
"181",27811,2018-02-14,19,18,18,6.86,67.65,2,"male","unempl","full-time","single"
"182",25191,2018-02-09,24,21,15,6.86,51.76,3,"male","unempl","full-time","single"
"183",68469,2018-04-19,29,13,21,7.14,69.62,2,"male","unempl","full-time","divorced"
"184",58845,2018-04-04,23,17,12,7.86,52.91,5,"female","unempl","par-time","single"
"185",75936,2018-05-01,25,25,16,6.14,43.47,5,"male","empl","par-time","single"
"186",43708,2018-03-11,24,25,9,7.14,21.51,4,"female","empl","par-time","married"
"187",15708,2018-01-25,31,21,20,6.14,59.01,3,"male","unempl","full-time","divorced"
"188",62311,2018-04-09,20,23,3,8.29,14.11,3,"female","unempl","par-time","single"
"189",38096,2018-03-02,16,16,8,8.57,30.98,2,"female","empl","par-time","single"
"190",69835,2018-04-21,27,22,14,6.86,40.22,1,"female","empl","par-time","divorced"
"191",91111,2018-05-25,18,19,10,7.86,39.92,4,"female","empl","par-time","single"
"192",99908,2018-01-23,24,19,16,7,44.86,2,"male","empl","par-time","single"
"193",50648,2018-03-22,26,17,22,6.43,77.28,2,"male","unempl","full-time","divorced"
"194",16204,2018-01-26,20,24,15,6.43,37.38,3,"male","empl","par-time","single"
"195",32805,2018-02-21,27,18,17,7,59.39,5,"male","unempl","full-time","divorced"
"196",76462,2018-05-02,25,17,4,9,19.12,3,"female","unempl","par-time","married"
"197",8506,2018-01-14,22,16,17,7.29,70.28,4,"male","unempl","full-time","single"
"198",36659,2018-02-28,24,22,25,5.29,76.42,2,"male","unempl","full-time","single"
"199",13805,2018-01-22,19,22,11,7.29,33.54,2,"female","empl","par-time","single"
"200",23970,2018-02-07,24,21,6,8.14,26.36,5,"female","empl","par-time","married"
"201",41398,2018-03-07,24,20,20,6.29,62.61,4,"male","unempl","full-time","single"
"202",6490,2018-01-11,25,25,9,7.14,21.3,4,"female","empl","par-time","married"
"203",55385,2018-03-29,23,16,17,7.29,65.2,5,"male","unempl","full-time","single"
"204",82166,2018-05-11,19,19,19,6.57,56.98,4,"male","unempl","full-time","single"
"205",83384,2018-05-13,24,16,12,8,44.42,3,"female","empl","par-time","single"
"206",4326,2018-01-07,31,18,20,6.57,69.78,3,"male","unempl","full-time","divorced"
"207",50281,2018-03-21,28,21,18,6.43,54.08,3,"male","unempl","full-time","divorced"
"208",95928,2018-06-01,29,15,14,7.86,51.12,3,"female","unempl","full-time","divorced"
"209",95257,2018-05-31,20,18,16,7.14,52.83,5,"male","unempl","full-time","single"
"210",93023,2018-05-28,18,18,10,8,41.31,4,"female","empl","par-time","single"
"211",74857,2018-04-29,24,20,16,6.86,52.16,3,"male","unempl","full-time","single"
"212",68029,2018-04-18,21,21,16,6.71,56.73,1,"male","unempl","full-time","single"
"213",99724,2018-06-07,28,19,18,6.71,51.15,3,"male","unempl","full-time","divorced"
"214",76109,2018-05-01,25,18,15,7.29,47.92,1,"male","empl","par-time","single"
"215",49692,2018-03-20,27,26,6,7.43,18.22,4,"female","unempl","par-time","married"
"216",89527,2018-05-22,27,21,11,7.43,47.86,4,"female","empl","par-time","divorced"
"217",80208,2018-05-08,22,21,16,6.71,45.43,4,"male","empl","par-time","single"
"218",49387,2018-03-20,24,21,25,5.43,74.28,4,"male","unempl","full-time","single"
"219",69096,2018-04-20,26,19,22,6.14,72.84,2,"male","unempl","full-time","divorced"
"220",33636,2018-02-23,22,21,23,5.71,69.85,5,"male","unempl","full-time","single"
"221",73518,2018-04-27,23,20,12,7.43,43.05,3,"female","empl","par-time","single"
"222",10395,2018-01-17,22,23,9,7.43,20.57,2,"female","empl","par-time","single"
"223",41590,2018-03-07,22,21,16,6.71,50.03,5,"male","unempl","full-time","single"
"224",66459,2018-04-16,20,12,13,8.43,48.36,2,"female","empl","par-time","single"
"225",32072,2018-02-20,21,16,22,6.57,78.49,3,"male","unempl","full-time","single"
"226",58944,2018-04-04,24,14,18,7.43,66.68,4,"male","unempl","full-time","single"
"227",6894,2018-01-11,18,18,20,6.57,67.4,2,"male","unempl","full-time","single"
"228",8953,2018-01-15,25,18,20,6.57,75.72,1,"male","unempl","full-time","single"
"229",11479,2018-01-19,18,22,14,6.86,46.99,5,"female","empl","par-time","single"
"230",79339,2018-05-06,27,23,17,6.29,47.52,1,"male","empl","par-time","divorced"
"231",6023,2018-01-10,22,25,19,5.71,53.06,5,"male","unempl","full-time","single"
"232",14242,2018-01-23,25,21,14,7,44.8,5,"female","empl","par-time","single"
"233",79973,2018-05-07,24,21,15,6.86,53.45,4,"male","unempl","full-time","single"
"234",67065,2018-04-17,26,22,14,6.86,34.46,1,"female","empl","par-time","married"
"235",87970,2018-05-20,24,26,14,6.29,39.61,5,"female","empl","par-time","single"
"236",54004,2018-03-27,24,23,12,7,30.29,1,"female","empl","par-time","married"
"237",92397,2018-05-27,24,23,12,7,34.39,2,"female","empl","par-time","married"
"238",59080,2018-04-04,24,21,17,6.57,53.38,4,"male","unempl","full-time","single"
"239",49209,2018-03-19,28,26,9,7,27.86,2,"female","empl","par-time","married"
"240",88269,2018-05-20,21,16,17,7.29,68.66,3,"male","unempl","full-time","single"
"241",14689,2018-01-24,19,22,9,7.57,37.59,3,"female","empl","par-time","single"
"242",56627,2018-03-31,29,24,21,5.57,73.21,2,"male","unempl","full-time","divorced"
"243",95106,2018-05-31,23,18,14,7.43,46.09,1,"female","empl","par-time","single"
"244",22101,2018-02-05,19,18,17,7,63.85,3,"male","unempl","full-time","single"
"245",26597,2018-02-12,24,21,16,6.71,52.01,1,"male","unempl","full-time","single"
"246",69532,2018-04-21,30,17,18,7,62.45,1,"male","unempl","full-time","divorced"
"247",98632,2018-06-06,30,13,17,7.71,64.61,4,"male","unempl","full-time","divorced"
"248",34336,2018-02-24,27,14,16,7.71,61.8,4,"male","unempl","full-time","divorced"
"249",99296,2018-06-07,16,23,4,8.14,10.38,4,"female","unempl","par-time","single"
"250",22871,2018-02-06,24,23,17,6.29,53.58,1,"male","unempl","full-time","single"
"251",5389,2018-01-09,22,22,17,6.43,48.67,2,"male","empl","par-time","single"
"252",25320,2018-02-10,24,18,21,6.43,63.17,1,"male","unempl","full-time","single"
"253",33295,2018-02-22,22,25,12,6.71,35.29,3,"female","empl","par-time","single"
"254",26294,2018-02-11,18,17,11,8,45.54,4,"female","empl","par-time","single"
"255",5291,2018-01-09,26,17,23,6.29,79.96,4,"male","unempl","full-time","divorced"
"256",45834,2018-03-14,19,17,15,7.43,48.99,4,"male","empl","par-time","single"
"257",58106,2018-04-03,21,20,10,7.71,31.89,4,"female","empl","par-time","single"
"258",99234,2018-06-07,21,18,16,7.14,51.4,5,"male","unempl","full-time","single"
"259",74358,2018-04-28,23,22,23,5.57,66.21,4,"male","unempl","full-time","single"
"260",47447,2018-03-17,23,24,24,5.14,73.33,3,"male","unempl","full-time","single"
"261",46483,2018-03-15,29,17,20,6.71,73.81,5,"male","unempl","full-time","divorced"
"262",52083,2018-03-24,28,18,7,8.43,31.7,5,"female","empl","par-time","married"
"263",46599,2018-03-15,28,17,16,7.29,65.92,5,"male","unempl","full-time","divorced"
"264",34803,2018-02-25,25,21,5,8.29,23.24,5,"female","empl","par-time","married"
"265",6558,2018-01-11,24,21,14,7,45.34,3,"female","empl","par-time","single"
"266",95516,2018-06-01,19,26,17,5.86,43.13,2,"male","empl","par-time","single"
"267",71221,2018-04-23,30,23,14,6.71,36.14,2,"female","empl","par-time","divorced"
"268",7122,2018-01-12,27,17,9,8.29,36.2,5,"female","empl","par-time","divorced"
"269",70773,2018-04-23,21,15,18,7.29,70.44,5,"male","unempl","full-time","single"
"270",40855,2018-03-06,24,16,10,8.29,32.08,4,"female","empl","par-time","married"
"271",18412,2018-01-30,27,19,13,7.43,43.07,3,"female","empl","par-time","divorced"
"272",65930,2018-04-15,21,19,12,7.57,38.63,4,"female","empl","par-time","single"
"273",38907,2018-03-03,28,26,15,6.14,31.25,1,"male","empl","par-time","married"
"274",5503,2018-01-09,22,21,15,6.86,46.31,4,"male","empl","par-time","single"
"275",46805,2018-03-16,25,15,22,6.71,68.97,2,"male","unempl","full-time","single"
"276",87556,2018-05-19,27,18,21,6.43,74.44,1,"male","unempl","full-time","divorced"
"277",20616,2018-02-02,25,19,21,6.29,74.91,4,"male","unempl","full-time","single"
"278",24116,2018-02-08,32,18,18,6.86,66.8,5,"male","unempl","full-time","divorced"
"279",15364,2018-01-25,30,25,16,6.14,54.17,3,"male","unempl","full-time","divorced"
"280",20903,2018-02-03,24,23,10,7.29,31.03,2,"female","empl","par-time","married"
"281",85323,2018-05-16,22,19,24,5.86,72.29,2,"male","unempl","full-time","single"
"282",73503,2018-04-27,29,19,19,6.57,58.07,5,"male","unempl","full-time","divorced"
"283",57908,2018-04-02,20,19,12,7.57,43.89,1,"female","empl","par-time","single"
"284",21230,2018-02-03,30,24,17,6.14,47.78,3,"male","empl","par-time","divorced"
"285",17105,2018-01-28,25,27,20,5.29,48.93,1,"male","unempl","full-time","single"
"286",99273,2018-06-07,23,21,12,7.29,37.07,4,"female","empl","par-time","single"
"287",26569,2018-02-12,27,16,21,6.71,65.95,3,"male","unempl","full-time","divorced"
"288",910,2018-01-02,29,23,14,6.71,37.86,3,"female","empl","par-time","divorced"
"289",98948,2018-06-06,18,20,17,6.71,54.02,2,"male","unempl","full-time","single"
"290",89292,2018-05-22,17,21,21,6,64.07,2,"male","unempl","full-time","single"
"291",15227,2018-01-25,20,18,18,6.86,59.2,1,"male","unempl","full-time","single"
"292",95434,2018-06-01,27,20,27,5.29,85.86,3,"male","unempl","full-time","single"
"293",93652,2018-05-29,24,21,24,5.57,68.65,2,"male","unempl","full-time","single"
"294",10946,2018-01-18,29,24,17,6.14,54.43,2,"male","unempl","full-time","divorced"
"295",80383,2018-05-08,20,23,14,6.71,35.5,2,"female","empl","par-time","single"
"296",96121,2018-06-02,18,20,23,5.86,71.28,5,"male","unempl","full-time","single"
"297",83802,2018-05-13,25,16,11,8.14,41.66,2,"female","empl","par-time","single"
"298",37004,2018-02-28,26,21,24,5.57,75.46,5,"male","unempl","full-time","divorced"
"299",9862,2018-01-16,27,25,17,6,52.37,5,"male","unempl","full-time","divorced"
"300",93021,2018-05-28,22,20,15,7,49.53,4,"male","empl","par-time","single"
"301",33475,2018-02-23,25,16,20,6.86,66.32,1,"male","unempl","full-time","single"
"302",11275,2018-01-18,20,24,22,5.43,76.88,4,"male","unempl","full-time","single"
"303",80440,2018-05-08,17,18,8,8.29,30.31,1,"female","empl","par-time","single"
"304",44082,2018-03-11,23,17,8,8.43,27.53,3,"female","empl","par-time","married"
"305",511,2018-01-01,27,22,12,7.14,36.28,4,"female","empl","par-time","divorced"
"306",35874,2018-02-26,32,19,20,6.43,67.85,5,"male","unempl","full-time","divorced"
"307",7073,2018-01-12,24,20,16,6.86,50.7,1,"male","unempl","full-time","single"
"308",58199,2018-04-03,23,18,22,6.29,72.61,1,"male","unempl","full-time","single"
"309",63590,2018-04-11,24,20,11,7.57,38.68,4,"female","empl","par-time","single"
"310",14926,2018-01-24,17,25,8,7.29,17.58,4,"female","unempl","par-time","single"
"311",70945,2018-04-23,19,24,17,6.14,39.57,3,"male","empl","par-time","single"
"312",75480,2018-04-30,19,24,18,6,59.25,2,"male","unempl","full-time","single"
"313",38015,2018-03-02,29,17,19,6.86,69.9,5,"male","unempl","full-time","divorced"
"314",38751,2018-03-03,19,22,14,6.86,43.22,2,"female","empl","par-time","single"
"315",57498,2018-04-02,28,22,17,6.43,59.37,1,"male","unempl","full-time","divorced"
"316",82130,2018-05-11,26,14,12,8.29,57.67,1,"female","unempl","par-time","divorced"
"317",49424,2018-03-20,28,17,7,8.57,35.01,2,"female","empl","par-time","divorced"
"318",54372,2018-03-28,22,18,15,7.29,48.06,4,"male","empl","par-time","single"
"319",91295,2018-05-25,25,25,19,5.71,53.32,5,"male","unempl","full-time","single"
"320",55163,2018-03-29,22,18,27,5.57,91.33,5,"male","unempl","full-time","single"
"321",85772,2018-05-16,24,22,16,6.57,49.72,4,"male","empl","par-time","single"
"322",55538,2018-03-30,19,19,15,7.14,52.45,4,"male","unempl","full-time","single"
"323",36840,2018-02-28,27,20,17,6.71,58.72,3,"male","unempl","full-time","divorced"
"324",48963,2018-03-19,21,19,7,8.29,26.39,1,"female","empl","par-time","single"
"325",65063,2018-04-14,21,17,10,8.14,33.92,5,"female","empl","par-time","single"
