"","id_num","date","awards","math","physics","hpw","gender","imp","school+prog"
"2362",96611,2019-02-03,0,0,0,0,"female",2,"Private/1"
"2407",56782,2019-01-20,0,0,0,0,"female",1,"Private/0"
"2410",16943,2019-01-06,0,0,0,0,"female",2,"Private/1"
"10",19190,2019-01-07,1,5.5,6.9,1,"female",1,"Private/2"
"24",41238,2019-01-15,1,6.2,6.6,0.615384615384615,"female",1,"Private/2"
"38",60392,2019-01-21,1,6.9,7.33333333333333,1,"female",1,"Private/1"
"55",63112,2019-01-22,1,6.9,8.36666666666667,1.46153846153846,"female",2,"Private/1"
"56",86775,2019-01-30,1,6.5,7.53333333333333,0.692307692307692,"female",2,"Private/2"
"69",34503,2019-01-12,1,6.9,6,1.38461538461538,"female",1,"Private/1"
"88",41852,2019-01-15,1,6.6,7.7,1,"female",2,"Private/1"
"92",81404,2019-01-28,1,6.5,6.1,1.30769230769231,"female",1,"Private/1"
"107",10397,2019-01-04,1,6.3,6.73333333333333,2.38461538461538,"female",2,"Private/1"
"118",1193,2019-01-01,1,4,7.53333333333333,1.61538461538462,"female",2,"Private/1"
"132",2847,2019-01-01,1,6,7.8,1.15384615384615,"female",1,"Private/0"
"133",63815,2019-01-22,1,5.7,6.6,0.538461538461538,"female",2,"Private/2"
"149",72596,2019-01-25,1,5.9,6.36666666666667,1.53846153846154,"female",1,"Private/0"
"158",99755,2019-02-03,1,4.2,5.26666666666667,1.23076923076923,"female",1,"Private/0"
"167",65503,2019-01-23,1,5.4,6.4,1.23076923076923,"female",1,"Private/0"
"193",38646,2019-01-14,1,5,4.13333333333333,1.69230769230769,"female",1,"Private/0"
"197",78684,2019-01-27,1,4.3,7.36666666666667,1.30769230769231,"female",2,"Private/0"
"208",43729,2019-01-15,1,6.8,5.7,1.07692307692308,"female",1,"Private/1"
"212",3481,2019-01-02,1,6.3,4.83333333333333,1.23076923076923,"female",2,"Private/2"
"228",12447,2019-01-05,1,4.7,5.66666666666667,1.53846153846154,"female",2,"Private/1"
"232",87304,2019-01-30,1,6.3,7.76666666666667,1.07692307692308,"female",1,"Private/2"
"248",64057,2019-01-22,1,6.7,6.76666666666667,1.23076923076923,"female",2,"Private/1"
"256",59975,2019-01-21,1,5.9,6.66666666666667,1.15384615384615,"female",2,"Private/1"
"267",36624,2019-01-13,1,4.6,6.56666666666667,1.07692307692308,"female",1,"Private/2"
"271",58222,2019-01-20,1,6.3,5.76666666666667,1,"female",1,"Private/1"
"272",61988,2019-01-22,1,5,4.9,0.923076923076923,"female",1,"Private/1"
"285",1195,2019-01-01,1,6.1,6.3,1.53846153846154,"female",2,"Private/1"
"289",21868,2019-01-08,1,6.5,6.36666666666667,1.30769230769231,"female",2,"Private/0"
"292",53762,2019-01-19,1,6.4,7.83333333333333,2.07692307692308,"female",1,"Private/3"
"297",37614,2019-01-13,1,5.9,6.16666666666667,0.846153846153846,"female",2,"Private/1"
"298",98184,2019-02-03,1,4.9,8.03333333333333,1.84615384615385,"female",1,"Private/0"
"299",96676,2019-02-02,1,6.6,7.3,1.30769230769231,"female",1,"Private/0"
"302",69179,2019-01-24,1,6.3,5.23333333333333,1.69230769230769,"female",2,"Private/1"
"309",75450,2019-01-26,1,3.4,5.5,0.846153846153846,"female",2,"Private/2"
"317",39666,2019-01-14,1,5.5,7.2,0.538461538461538,"female",2,"Private/1"
"335",94942,2019-02-02,1,6.6,7.86666666666667,1.07692307692308,"female",2,"Private/3"
"352",10992,2019-01-04,1,6.5,5.76666666666667,1.38461538461538,"female",2,"Private/1"
"358",11742,2019-01-05,1,6,5.26666666666667,1.23076923076923,"female",2,"Private/1"
"361",61649,2019-01-22,1,6.5,6.03333333333333,1.15384615384615,"female",2,"Private/1"
"367",27341,2019-01-10,1,6.9,6.8,0.615384615384615,"female",2,"Private/0"
"389",71891,2019-01-25,1,6,7.86666666666667,0.846153846153846,"female",2,"Private/0"
"427",23743,2019-01-09,1,6.1,7.23333333333333,0.769230769230769,"female",2,"Private/2"
"432",45863,2019-01-16,1,6.7,7.03333333333333,0.923076923076923,"female",1,"Private/0"
"435",94257,2019-02-02,1,5.4,5.4,1.38461538461538,"female",2,"Private/1"
"438",34523,2019-01-12,1,4.8,6.93333333333333,1.30769230769231,"female",2,"Private/1"
"441",95571,2019-02-02,1,7,6.16666666666667,1.46153846153846,"female",1,"Private/3"
"449",75115,2019-01-26,1,6.6,6,0.923076923076923,"female",2,"Private/1"
"450",15661,2019-01-06,1,6.5,6.36666666666667,1.30769230769231,"female",2,"Private/1"
"455",15443,2019-01-06,1,5.9,5.3,1.07692307692308,"female",2,"Private/0"
"460",95983,2019-02-02,1,5.2,8.13333333333333,0.615384615384615,"female",1,"Private/1"
"475",42566,2019-01-15,1,6.4,6.7,1.15384615384615,"female",2,"Private/1"
"490",11709,2019-01-05,1,6.3,6.5,0.461538461538462,"female",2,"Private/1"
"500",35938,2019-01-13,1,7,5.63333333333333,1.38461538461538,"female",2,"Private/0"
"524",16640,2019-01-06,1,6.9,6.96666666666667,0.923076923076923,"female",1,"Private/1"
"535",28085,2019-01-10,1,6,7.2,1.53846153846154,"female",2,"Private/1"
"536",14898,2019-01-06,1,5.6,5.46666666666667,1.07692307692308,"female",1,"Private/1"
"546",89777,2019-01-31,1,7,5.4,0.692307692307692,"female",1,"Private/0"
"557",768,2019-01-01,1,7,6.86666666666667,0.923076923076923,"female",2,"Private/0"
"558",87944,2019-01-31,1,6.4,8.83333333333333,1.53846153846154,"female",2,"Private/1"
"562",86315,2019-01-30,1,6.8,8.66666666666667,0.384615384615385,"female",1,"Private/2"
"574",36164,2019-01-13,1,6.8,5.53333333333333,1.30769230769231,"female",2,"Private/1"
"584",26969,2019-01-10,1,5.9,6.16666666666667,1.07692307692308,"female",1,"Private/1"
"587",5967,2019-01-03,1,6.8,7.16666666666667,1.38461538461538,"female",1,"Private/1"
"610",35297,2019-01-13,1,6.2,6.33333333333333,0.692307692307692,"female",2,"Private/3"
"620",11549,2019-01-04,1,6.2,6.7,1.46153846153846,"female",2,"Private/1"
"637",88557,2019-01-31,1,6.2,6.76666666666667,1.30769230769231,"female",1,"Private/2"
"638",80390,2019-01-28,1,6.6,6.96666666666667,1.23076923076923,"female",1,"Private/1"
"647",96586,2019-02-03,1,6.4,5.96666666666667,1.53846153846154,"female",2,"Private/0"
"656",31267,2019-01-11,1,6.7,6.36666666666667,1.07692307692308,"female",2,"Private/1"
"663",76938,2019-01-27,1,6.9,6.36666666666667,1.53846153846154,"female",1,"Private/1"
"678",23733,2019-01-09,1,5.8,7.16666666666667,1.30769230769231,"female",2,"Private/1"
"691",80227,2019-01-28,1,5.6,6.8,1.15384615384615,"female",2,"Private/0"
"706",38466,2019-01-14,1,6.7,6.03333333333333,0.769230769230769,"female",1,"Private/1"
"713",16838,2019-01-06,1,6.8,6.3,1.30769230769231,"female",2,"Private/0"
"730",27188,2019-01-10,1,5.8,8.33333333333333,1.69230769230769,"female",2,"Private/2"
"734",95760,2019-02-02,1,6.5,6.46666666666667,2.23076923076923,"female",1,"Private/1"
"739",69308,2019-01-24,1,7,7.23333333333333,1.23076923076923,"female",2,"Private/1"
"740",55323,2019-01-19,1,5.1,6.03333333333333,0.769230769230769,"female",1,"Private/1"
"749",79210,2019-01-28,1,5.3,7.13333333333333,1.53846153846154,"female",1,"Private/1"
"754",29428,2019-01-11,1,6.7,6.83333333333333,1.07692307692308,"female",1,"Private/1"
"790",69265,2019-01-24,1,6.5,6.36666666666667,0.692307692307692,"female",1,"Private/0"
"792",3003,2019-01-02,1,6.9,7.83333333333333,1.23076923076923,"female",2,"Private/1"
"802",36325,2019-01-13,1,6.7,6.66666666666667,1.53846153846154,"female",2,"Private/0"
"810",24507,2019-01-09,1,6.6,7.96666666666667,0.615384615384615,"female",2,"Private/1"
"826",37166,2019-01-13,1,6.3,7,1.38461538461538,"female",1,"Private/0"
"837",67275,2019-01-24,1,6.8,6.2,0.769230769230769,"female",2,"Private/0"
"842",1389,2019-01-01,1,6.9,7.5,0.923076923076923,"female",1,"Private/2"
"847",46575,2019-01-16,1,6.9,7.36666666666667,0.769230769230769,"female",2,"Private/1"
"853",70451,2019-01-25,1,6.5,9.46666666666667,1.53846153846154,"female",2,"Private/1"
"856",12623,2019-01-05,1,5.9,5.7,1,"female",1,"Private/2"
"864",73488,2019-01-26,1,6,7.16666666666667,0.846153846153846,"female",2,"Private/1"
"865",60047,2019-01-21,1,5.8,6.33333333333333,1.30769230769231,"female",2,"Private/0"
"870",56048,2019-01-20,1,4.8,7.83333333333333,0.769230769230769,"female",2,"Private/1"
"892",86751,2019-01-30,1,6.6,5.73333333333333,1,"female",1,"Private/1"
"893",20416,2019-01-08,1,6.8,6.5,1.46153846153846,"female",1,"Private/0"
"896",4897,2019-01-02,1,6.4,6.3,1.53846153846154,"female",2,"Private/1"
"898",97148,2019-02-03,1,6.3,8.23333333333333,0.846153846153846,"female",2,"Private/2"
"906",78714,2019-01-28,1,5.7,7.56666666666667,1.07692307692308,"female",1,"Private/2"
"907",27682,2019-01-10,1,6.7,8.2,0.923076923076923,"female",1,"Private/1"
"909",8608,2019-01-03,1,6.7,6.16666666666667,1.30769230769231,"female",2,"Private/1"
"910",42586,2019-01-15,1,5.5,6.36666666666667,1.46153846153846,"female",1,"Private/2"
"914",74802,2019-01-26,1,6.6,6.83333333333333,1.15384615384615,"female",1,"Private/1"
"924",45053,2019-01-16,1,5.7,7.36666666666667,1.69230769230769,"female",1,"Private/1"
"943",7930,2019-01-03,1,3.7,5.93333333333333,0.923076923076923,"female",1,"Private/1"
"951",77026,2019-01-27,1,6.9,7.33333333333333,1.76923076923077,"female",1,"Private/2"
"963",23225,2019-01-08,1,6.9,7.4,1,"female",1,"Private/0"
"976",78472,2019-01-27,1,4.7,7.03333333333333,1.23076923076923,"female",1,"Private/0"
"991",17453,2019-01-06,1,6.6,6.7,1.46153846153846,"female",1,"Private/2"
"995",81170,2019-01-28,1,6.9,8.63333333333333,1.46153846153846,"female",2,"Private/1"
"1005",97164,2019-02-03,1,6.3,5.76666666666667,0.923076923076923,"female",2,"Private/2"
"1006",68813,2019-01-24,1,5.8,7.2,1,"female",2,"Private/0"
"1013",71480,2019-01-25,1,6.8,6.76666666666667,0.461538461538462,"female",1,"Private/1"
"1019",48678,2019-01-17,1,6.8,7.5,1.30769230769231,"female",1,"Private/1"
"1051",1428,2019-01-01,1,6.7,6.9,1.15384615384615,"female",1,"Private/3"
"1060",43283,2019-01-15,1,6.7,5.43333333333333,0.923076923076923,"female",1,"Private/1"
"1061",55270,2019-01-19,1,5.3,7.16666666666667,0.461538461538462,"female",2,"Private/1"
"1084",83566,2019-01-29,1,6.7,5.9,1.30769230769231,"female",1,"Private/1"
"1088",97747,2019-02-03,1,6.4,6.4,1.15384615384615,"female",1,"Private/0"
"1104",32568,2019-01-12,1,6.9,5.6,1.23076923076923,"female",1,"Private/2"
"1105",1402,2019-01-01,1,5.5,6.63333333333333,1.38461538461538,"female",2,"Private/1"
"1121",77183,2019-01-27,1,6.3,6.7,0.538461538461538,"female",2,"Private/1"
"1132",99102,2019-01-14,1,5.4,6.2,1.69230769230769,"female",2,"Private/0"
"1150",43681,2019-01-16,1,7,6.73333333333333,1.07692307692308,"female",1,"Private/2"
"1152",83290,2019-01-29,1,5.1,4.76666666666667,1.07692307692308,"female",1,"Private/0"
"1159",92030,2019-02-01,1,6.6,8.23333333333333,0.461538461538462,"female",2,"Private/1"
"1161",20391,2019-01-08,1,6,6.86666666666667,1.69230769230769,"female",2,"Private/1"
"1176",16258,2019-01-06,1,6.9,6.7,1.23076923076923,"female",2,"Private/0"
"1180",42367,2019-01-15,1,5.8,6.63333333333333,1.61538461538462,"female",2,"Private/1"
"1190",84456,2019-01-30,1,5,5.1,1.53846153846154,"female",2,"Private/1"
"1200",56799,2019-01-20,1,6.3,7.1,1.15384615384615,"female",1,"Private/0"
"1211",64951,2019-01-23,1,6.8,6.66666666666667,1.23076923076923,"female",1,"Private/1"
"1213",6355,2019-01-03,1,3.1,5.73333333333333,1.07692307692308,"female",2,"Private/1"
"1218",96515,2019-02-03,1,5.1,6.06666666666667,0.923076923076923,"female",1,"Private/0"
"1222",70942,2019-01-25,1,6,5.96666666666667,0.923076923076923,"female",2,"Private/0"
"1226",59746,2019-01-21,1,6.6,6.36666666666667,0.923076923076923,"female",2,"Private/2"
"1227",64228,2019-01-23,1,5.4,7.23333333333333,0.923076923076923,"female",2,"Private/2"
"1235",1851,2019-01-01,1,6.1,4.1,1.38461538461538,"female",1,"Private/0"
"1243",78045,2019-01-27,1,6.1,6.76666666666667,1.07692307692308,"female",2,"Private/2"
"1250",70793,2019-01-25,1,5.9,7.16666666666667,1.61538461538462,"female",1,"Private/2"
"1251",45305,2019-01-16,1,6.9,7.36666666666667,1,"female",2,"Private/2"
"1252",84794,2019-01-30,1,6.3,7.23333333333333,0.615384615384615,"female",2,"Private/1"
"1260",56709,2019-01-20,1,5,7.43333333333333,0.846153846153846,"female",2,"Private/1"
"1261",51023,2019-01-18,1,6.8,5.86666666666667,2,"female",2,"Private/2"
"1269",1424,2019-01-01,1,6.8,8.73333333333333,1.69230769230769,"female",1,"Private/3"
"1291",77011,2019-01-27,1,4.2,6.63333333333333,1.07692307692308,"female",2,"Private/0"
"1295",63038,2019-01-22,1,5.1,6.86666666666667,1.07692307692308,"female",1,"Private/0"
"1307",66570,2019-01-23,1,6.9,7,1.07692307692308,"female",1,"Private/0"
"1322",75826,2019-01-27,1,6.8,5.56666666666667,0.846153846153846,"female",2,"Private/0"
"1328",55961,2019-01-20,1,6.5,5.43333333333333,0.461538461538462,"female",1,"Private/1"
"1329",56857,2019-01-20,1,6.8,5.96666666666667,1.53846153846154,"female",1,"Private/2"
"1333",85171,2019-01-30,1,5.6,6.03333333333333,1.46153846153846,"female",2,"Private/1"
"1341",29737,2019-01-11,1,6.2,6.46666666666667,1.07692307692308,"female",1,"Private/0"
"1344",90892,2019-02-01,1,5.9,6.43333333333333,1.15384615384615,"female",1,"Private/0"
"1347",4349,2019-01-02,1,6.7,6.96666666666667,1.30769230769231,"female",2,"Private/1"
"1351",44958,2019-01-16,1,5.1,6,1.53846153846154,"female",1,"Private/2"
"1358",20263,2019-01-07,1,6.7,7.6,1,"female",2,"Private/1"
"1363",14500,2019-01-05,1,6.3,5.53333333333333,1.30769230769231,"female",2,"Private/0"
"1364",69719,2019-01-25,1,7,5.3,1.15384615384615,"female",2,"Private/1"
"1372",50867,2019-01-18,1,6.7,7.33333333333333,1.46153846153846,"female",1,"Private/1"
"1408",89876,2019-01-31,1,4,6.46666666666667,1.84615384615385,"female",2,"Private/1"
"1409",50928,2019-01-18,1,6.9,7.66666666666667,0.615384615384615,"female",1,"Private/1"
"1411",26072,2019-01-09,1,5.2,6.06666666666667,0.923076923076923,"female",1,"Private/2"
"1413",32423,2019-01-12,1,6.7,6.36666666666667,1,"female",2,"Private/1"
"1427",86545,2019-01-30,1,6,6.2,1.76923076923077,"female",1,"Private/1"
"1453",1191,2019-01-01,1,6.8,8.76666666666667,1,"female",2,"Private/1"
"1456",91498,2019-02-01,1,5.3,7.4,0.461538461538462,"female",2,"Private/0"
"1482",18970,2019-01-07,1,6.8,5.7,0.153846153846154,"female",1,"Private/1"
"1483",87427,2019-01-31,1,5.9,6.9,1,"female",1,"Private/2"
"1491",67500,2019-01-24,1,6.7,6.8,0.846153846153846,"female",1,"Private/0"
"1501",85518,2019-01-30,1,6.2,7.43333333333333,1.23076923076923,"female",1,"Private/1"
"1505",18357,2019-01-07,1,6.7,6.4,1.15384615384615,"female",1,"Private/0"
"1509",96181,2019-02-03,1,6.1,6.16666666666667,1.15384615384615,"female",2,"Private/1"
"1525",55259,2019-01-20,1,6.7,6.63333333333333,1.07692307692308,"female",2,"Private/0"
"1534",37636,2019-01-13,1,6.4,6.86666666666667,0.692307692307692,"female",2,"Private/1"
"1536",70659,2019-01-25,1,5.9,7.93333333333333,1.76923076923077,"female",1,"Private/2"
"1539",26046,2019-01-09,1,5.1,7.9,1,"female",1,"Private/1"
"1543",49131,2019-01-17,1,5.9,3.66666666666667,0.615384615384615,"female",1,"Private/2"
"1552",37052,2019-01-13,1,4.4,7.23333333333333,1.46153846153846,"female",2,"Private/1"
"1564",49055,2019-01-17,1,6.9,8.56666666666667,1.30769230769231,"female",2,"Private/1"
"1571",88180,2019-01-31,1,6.4,6.16666666666667,1.38461538461538,"female",2,"Private/1"
"1578",71436,2019-01-25,1,6.6,5.53333333333333,1.07692307692308,"female",2,"Private/0"
"1595",64490,2019-01-23,1,7,6.03333333333333,0.615384615384615,"female",2,"Private/0"
"1596",82733,2019-01-29,1,6.5,7.9,0.615384615384615,"female",2,"Private/1"
"1600",19568,2019-01-07,1,7,6.06666666666667,1.46153846153846,"female",2,"Private/1"
"1602",50331,2019-01-18,1,5.2,7.93333333333333,0.769230769230769,"female",1,"Private/2"
"1603",48732,2019-01-17,1,6.8,6.86666666666667,1.07692307692308,"female",2,"Private/1"
"1610",28662,2019-01-10,1,6.3,6.36666666666667,1.07692307692308,"female",2,"Private/0"
"1619",88608,2019-01-31,1,6,6.7,1.30769230769231,"female",2,"Private/0"
"1624",18232,2019-01-07,1,3.6,6.7,1.38461538461538,"female",2,"Private/2"
"1634",46187,2019-01-16,1,5.3,6.03333333333333,1.46153846153846,"female",1,"Private/1"
"1635",54070,2019-01-19,1,5.6,6.16666666666667,1.15384615384615,"female",1,"Private/0"
"1637",85097,2019-01-30,1,5.9,8,0.769230769230769,"female",1,"Private/0"
"1638",45595,2019-01-16,1,6.3,7.16666666666667,1.15384615384615,"female",2,"Private/1"
"1640",74550,2019-01-26,1,6.5,6.1,1.30769230769231,"female",2,"Private/1"
"1652",73239,2019-01-26,1,6.6,6.13333333333333,1,"female",2,"Private/0"
"1653",69780,2019-01-25,1,5,5.9,1.61538461538462,"female",2,"Private/0"
"1657",38653,2019-01-14,1,4.5,6.2,1,"female",2,"Private/0"
"1674",38717,2019-01-14,1,6,5.76666666666667,0.923076923076923,"female",1,"Private/1"
"1680",79840,2019-01-28,1,7,6.4,0.769230769230769,"female",2,"Private/0"
"1700",91013,2019-02-01,1,6,7.16666666666667,1.07692307692308,"female",1,"Private/0"
"1704",35529,2019-01-13,1,6.8,7.96666666666667,1.69230769230769,"female",1,"Private/0"
"1718",71882,2019-01-25,1,6.9,7.06666666666667,0.615384615384615,"female",2,"Private/0"
"1732",41499,2019-01-15,1,6.6,7.06666666666667,1.53846153846154,"female",2,"Private/0"
"1735",1593,2019-01-01,1,6.3,7.2,1.38461538461538,"female",2,"Private/1"
"1746",20756,2019-01-08,1,3.3,7,0.923076923076923,"female",1,"Private/1"
"1756",75340,2019-01-27,1,6.8,5.96666666666667,0.769230769230769,"female",1,"Private/0"
"1776",39106,2019-01-14,1,6.9,7.9,1.23076923076923,"female",2,"Private/1"
"1778",97531,2019-02-03,1,6.4,6.13333333333333,1.38461538461538,"female",1,"Private/2"
"1786",56973,2019-01-20,1,5.8,8.36666666666667,1.23076923076923,"female",1,"Private/1"
"1801",88783,2019-01-31,1,6.6,6.4,1.61538461538462,"female",1,"Private/0"
"1807",20868,2019-01-08,1,6.1,6.9,0.846153846153846,"female",2,"Private/0"
"1814",93308,2019-02-02,1,6.7,6.8,1.23076923076923,"female",2,"Private/0"
"1825",33875,2019-01-12,1,6.5,7.73333333333333,0.692307692307692,"female",2,"Private/0"
"1840",67376,2019-01-24,1,4.2,7.56666666666667,1.69230769230769,"female",1,"Private/0"
"1846",3158,2019-01-02,1,7,8.53333333333333,0.461538461538462,"female",1,"Private/0"
"1847",73940,2019-01-26,1,6,6.83333333333333,1.46153846153846,"female",1,"Private/1"
"1852",31087,2019-01-11,1,6.6,8.56666666666667,0.615384615384615,"female",2,"Private/0"
"1862",77359,2019-01-27,1,6.5,7.76666666666667,0.692307692307692,"female",1,"Private/3"
"1875",14864,2019-01-06,1,7,7.1,1,"female",1,"Private/1"
"1894",17679,2019-01-07,1,6.7,6.23333333333333,1.07692307692308,"female",1,"Private/1"
"1902",89189,2019-01-31,1,6.8,7.56666666666667,0.923076923076923,"female",2,"Private/1"
"1920",27611,2019-01-10,1,6,6.3,1,"female",1,"Private/0"
"1929",76467,2019-01-27,1,5.8,8.2,0.846153846153846,"female",2,"Private/0"
"1931",7798,2019-01-03,1,6.8,7.73333333333333,0.615384615384615,"female",2,"Private/0"
"1938",70308,2019-01-25,1,6.8,7.33333333333333,1.30769230769231,"female",2,"Private/2"
"1944",32097,2019-01-12,1,4.6,5.2,0.384615384615385,"female",1,"Private/1"
"1946",49938,2019-01-18,1,5.2,6.33333333333333,1,"female",2,"Private/0"
"1960",54551,2019-01-19,1,6.4,7,0.769230769230769,"female",1,"Private/1"
"1997",24200,2019-01-09,1,6.1,4.2,0.923076923076923,"female",2,"Private/1"
"2006",33312,2019-01-12,1,5.7,6.96666666666667,0.230769230769231,"female",2,"Private/1"
"2008",73411,2019-01-26,1,6.5,5.63333333333333,1.23076923076923,"female",2,"Private/3"
"2011",68401,2019-01-24,1,6.8,5.63333333333333,0.615384615384615,"female",1,"Private/0"
"2017",99932,2019-01-12,1,6.9,3.93333333333333,1.38461538461538,"female",1,"Private/2"
"2025",53118,2019-01-19,1,4.1,8.1,1.61538461538462,"female",2,"Private/0"
"2027",73686,2019-01-26,1,4,7.53333333333333,1.23076923076923,"female",2,"Private/1"
"2028",20155,2019-01-07,1,5.7,6.63333333333333,1.23076923076923,"female",1,"Private/0"
"2032",64916,2019-01-23,1,6.9,7.3,1,"female",1,"Private/0"
"2035",85554,2019-01-30,1,6.8,6.5,0.538461538461538,"female",2,"Private/2"
"2042",62930,2019-01-22,1,6.8,4.63333333333333,1,"female",1,"Private/1"
"2044",6324,2019-01-03,1,5.8,7.76666666666667,0.923076923076923,"female",1,"Private/1"
"2046",36606,2019-01-13,1,6.7,7.36666666666667,1.61538461538462,"female",1,"Private/1"
"2051",31660,2019-01-11,1,6.5,6.5,0.923076923076923,"female",1,"Private/0"
"2057",83587,2019-01-30,1,6.7,6.43333333333333,1.38461538461538,"female",2,"Private/1"
"2076",95840,2019-02-03,1,6.1,5.53333333333333,1.23076923076923,"female",2,"Private/2"
"2094",27067,2019-01-10,1,5.9,5.36666666666667,0.923076923076923,"female",2,"Private/1"
"2096",96418,2019-02-03,1,4.3,6.03333333333333,0.846153846153846,"female",2,"Private/2"
"2104",36782,2019-01-13,1,6.3,6.03333333333333,1.46153846153846,"female",2,"Private/0"
"2124",78356,2019-01-28,1,7,8.7,1.07692307692308,"female",2,"Private/1"
"2129",58628,2019-01-21,1,6.9,7.06666666666667,0.769230769230769,"female",1,"Private/3"
"2131",45436,2019-01-16,1,6.7,7.73333333333333,1,"female",2,"Private/2"
"2135",69713,2019-01-25,1,6.7,5.93333333333333,1.61538461538462,"female",2,"Private/2"
